area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Bellandur,5 BHK,GrnSpce,3648,5.0,2.0,263.55
Built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1951,3.0,3.0,90.66
Plot  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1023,2.0,3.0,66.41
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1128,2.0,1.0,78.67
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,648,1.0,2.0,33.69
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1112,3.0,0.0,80.89
Built-up  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,2696,4.0,2.0,119.21
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1626,3.0,1.0,166.69
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1796,3.0,1.0,97.74
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1131,3.0,1.0,57.49
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1099,2.0,1.0,131.02
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,986,2.0,0.0,134.49
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,608,1.0,0.0,84.07
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1627,3.0,1.0,85.4
Built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2690,4.0,2.0,226.85
Carpet  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1267,2.0,3.0,67.17
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1862,3.0,1.0,122.53
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,689,2.0,2.0,90.68
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1773,3.0,3.0,192.04
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1082,2.0,3.0,48.56
Built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1013,2.0,0.0,67.36
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1896,3.0,2.0,119.83
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1025,2.0,0.0,80.65
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,734,1.0,1.0,94.55
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1182,2.0,2.0,165.26
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1752,3.0,0.0,221.52
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1266,2.0,3.0,53.47
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1848,3.0,2.0,101.8
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,909,3.0,2.0,63.57
Built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,985,2.0,3.0,46.91
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1836,3.0,1.0,188.38
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1780,4.0,3.0,91.82
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1868,3.0,0.0,179.03
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1128,2.0,3.0,61.68
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1993,3.0,1.0,100.46
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,929,2.0,3.0,126.24
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1249,2.0,3.0,98.55
Plot  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,702,2.0,2.0,29.69
Carpet  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1139,2.0,3.0,168.15
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1904,4.0,0.0,198.3
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1249,2.0,0.0,118.31
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1701,3.0,2.0,256.51
Plot  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1473,3.0,0.0,82.28
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2512,5.0,3.0,160.91
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,956,2.0,3.0,65.87
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,662,1.0,2.0,89.19
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1005,2.0,1.0,129.16
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,606,1.0,1.0,55.19
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1026,2.0,1.0,94.07
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1891,3.0,1.0,129.19
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1980,4.0,1.0,237.62
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1060,3.0,3.0,48.16
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1188,2.0,1.0,90.72
Super built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,597,1.0,0.0,69.08
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1913,3.0,0.0,98.48
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,975,2.0,1.0,51.92
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1091,2.0,2.0,74.09
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1113,2.0,3.0,66.31
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1780,4.0,3.0,124.88
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,543,1.0,3.0,24.36
Carpet  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1778,3.0,2.0,104.56
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1196,2.0,3.0,135.37
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1637,3.0,3.0,97.75
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1158,2.0,0.0,140.6
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,GrnSpce,4514,5.0,0.0,469.53
Plot  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2723,5.0,0.0,164.62
Built-up  Area,Ready To Move,KR Puram,5 BHK,GrnSpce,4169,5.0,0.0,186.3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1781,3.0,0.0,102.15
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1033,3.0,3.0,60.39
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1625,3.0,3.0,135.77
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1055,2.0,0.0,119.44
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1075,2.0,2.0,77.31
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1688,3.0,2.0,84.04
Plot  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,700,1.0,1.0,43.84
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1978,3.0,2.0,140.21
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1859,3.0,3.0,144.26
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1514,3.0,1.0,99.54
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1227,2.0,3.0,58.81
Built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,GrnSpce,3080,4.0,3.0,129.5
Built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,GrnSpce,2912,5.0,2.0,130.5
Built-up  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,2835,4.0,2.0,375.63
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1185,2.0,3.0,172.9
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1208,2.0,2.0,75.65
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,604,2.0,1.0,45.86
Super built-up  Area,Ready To Move,Bannerghatta Road,5 BHK,GrnSpce,3976,5.0,3.0,241.62
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,GrnSpce,4160,6.0,2.0,516.44
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1100,2.0,0.0,58.72
Built-up  Area,Ready To Move,Whitefield,1 BHK,GrnSpce,575,1.0,3.0,42.83
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1805,3.0,1.0,282.96
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1159,2.0,3.0,56.39
Super built-up  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,2361,4.0,3.0,342.21
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,560,1.0,0.0,32.42
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,992,2.0,0.0,82.95
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1088,2.0,0.0,51.64
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,623,2.0,3.0,81.5
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1243,3.0,0.0,102.0
Plot  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1582,3.0,2.0,101.06
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,900,3.0,0.0,42.86
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1008,3.0,0.0,36.49
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,3058,4.0,0.0,206.57
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1723,3.0,3.0,221.14
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1731,3.0,0.0,57.99
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1504,3.0,0.0,121.93
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1950,4.0,0.0,271.29
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1786,3.0,0.0,82.25
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1256,2.0,0.0,152.36
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1193,2.0,3.0,59.96
Super built-up  Area,Ready To Move,Sarjapur Road,1 BHK,GrnSpce,621,1.0,1.0,43.78
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1571,4.0,3.0,185.99
Super built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,599,1.0,1.0,32.38
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1095,2.0,2.0,66.84
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1874,3.0,2.0,78.19
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1075,3.0,3.0,61.36
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,974,3.0,2.0,51.09
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,550,1.0,1.0,60.86
Plot  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,2845,4.0,2.0,150.92
Super built-up  Area,Ready To Move,Bannerghatta Road,5 BHK,GrnSpce,4137,5.0,2.0,224.0
Super built-up  Area,Ready To Move,Hebbal,5 BHK,GrnSpce,4173,5.0,0.0,301.99
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,950,3.0,0.0,40.97
Carpet  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1679,3.0,0.0,174.84
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1908,3.0,2.0,296.53
Built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1563,3.0,0.0,102.8
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1645,3.0,3.0,76.31
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1923,3.0,1.0,88.69
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1207,3.0,3.0,53.23
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1298,2.0,2.0,83.16
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1481,4.0,1.0,77.12
Built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,3039,4.0,0.0,166.4
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1546,3.0,3.0,66.03
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1513,4.0,3.0,103.83
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1525,3.0,3.0,194.39
Carpet  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1062,3.0,2.0,72.41
Plot  Area,Ready To Move,Marathahalli,5 BHK,GrnSpce,4146,5.0,1.0,278.44
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1087,2.0,0.0,78.62
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1934,3.0,3.0,124.28
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1087,2.0,1.0,62.89
Built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,515,1.0,1.0,21.52
Plot  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,912,2.0,1.0,47.13
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1019,3.0,1.0,49.66
Plot  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1168,2.0,0.0,71.01
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1582,3.0,0.0,47.49
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1413,3.0,1.0,97.85
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1429,4.0,1.0,170.62
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1237,2.0,1.0,49.8
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1140,2.0,0.0,122.89
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1789,3.0,3.0,103.92
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1827,3.0,0.0,228.14
Super built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,GrnSpce,2890,4.0,3.0,126.15
Built-up  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,3105,5.0,2.0,208.34
Plot  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,2651,4.0,0.0,136.93
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1192,2.0,3.0,75.22
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1126,2.0,3.0,68.82
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1499,3.0,0.0,89.25
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1572,3.0,3.0,189.5
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,902,2.0,1.0,63.93
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1151,2.0,0.0,67.56
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,552,1.0,1.0,83.01
Built-up  Area,Ready To Move,Yelahanka,4 BHK,GrnSpce,3067,5.0,0.0,160.03
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1167,2.0,0.0,75.27
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,583,1.0,0.0,49.63
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1901,3.0,1.0,92.79
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1411,3.0,0.0,100.67
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1706,3.0,3.0,209.34
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1625,3.0,0.0,147.48
Plot  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,589,1.0,3.0,53.57
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1261,2.0,2.0,84.2
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1080,2.0,0.0,117.76
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1001,2.0,3.0,115.81
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,740,1.0,1.0,55.47
Super built-up  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2935,4.0,2.0,221.33
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,689,1.0,1.0,113.36
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1134,2.0,3.0,59.75
Super built-up  Area,Ready To Move,Uttarahalli,5 BHK,GrnSpce,4362,5.0,2.0,210.38
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1553,3.0,1.0,64.18
Carpet  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1672,4.0,1.0,201.18
Plot  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,993,2.0,3.0,71.39
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1492,4.0,1.0,89.61
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1070,2.0,2.0,58.85
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,990,3.0,3.0,90.64
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1837,3.0,0.0,202.41
Plot  Area,Ready To Move,Electronic City,5 BHK,GrnSpce,3826,5.0,0.0,149.03
Plot  Area,Ready To Move,Sarjapur Road,1 BHK,GrnSpce,705,1.0,1.0,38.48
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,981,2.0,2.0,120.71
Plot  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,2914,4.0,2.0,437.77
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,747,1.0,1.0,34.76
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1087,3.0,0.0,84.67
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1531,3.0,1.0,81.46
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1223,3.0,3.0,62.46
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1182,2.0,3.0,73.15
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1870,3.0,0.0,204.91
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1080,2.0,1.0,60.04
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1216,2.0,0.0,90.49
Super built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,GrnSpce,537,1.0,3.0,24.97
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1256,2.0,1.0,199.36
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,946,2.0,2.0,38.25
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1101,2.0,1.0,60.36
Plot  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1879,3.0,2.0,71.12
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,950,2.0,0.0,56.39
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,995,2.0,2.0,61.02
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1239,2.0,1.0,86.77
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1074,2.0,3.0,81.22
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1268,2.0,3.0,74.72
Plot  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1169,2.0,0.0,61.12
Plot  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2652,4.0,0.0,239.91
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1046,3.0,1.0,54.62
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1775,3.0,1.0,89.72
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,694,1.0,2.0,33.03
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1288,2.0,2.0,96.31
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,3045,4.0,3.0,125.24
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1278,2.0,0.0,54.17
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1081,3.0,3.0,76.54
Carpet  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1260,2.0,1.0,67.75
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1217,3.0,0.0,105.42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1286,2.0,2.0,63.21
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1065,2.0,1.0,69.83
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2347,4.0,1.0,182.99
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,533,1.0,0.0,25.21
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1842,3.0,0.0,135.04
Built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1665,4.0,1.0,65.21
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1848,3.0,3.0,165.05
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,3096,4.0,2.0,282.17
Super built-up  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2994,4.0,1.0,158.12
Plot  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1766,3.0,0.0,109.78
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1440,3.0,0.0,51.97
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1050,2.0,0.0,54.2
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1217,2.0,0.0,136.57
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1737,3.0,2.0,209.74
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1893,3.0,1.0,277.53
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1268,2.0,2.0,77.74
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1006,2.0,3.0,66.3
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1584,3.0,2.0,65.87
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1028,3.0,2.0,102.69
Plot  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,537,1.0,1.0,72.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1994,4.0,3.0,71.75
Plot  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,555,2.0,2.0,25.57
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1943,4.0,1.0,104.61
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1213,2.0,1.0,65.18
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,986,2.0,0.0,58.63
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1856,3.0,1.0,97.2
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1146,2.0,0.0,140.38
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1049,2.0,1.0,37.47
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1514,3.0,2.0,159.74
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1146,2.0,2.0,67.36
Built-up  Area,Ready To Move,Marathahalli,5 BHK,GrnSpce,4457,5.0,0.0,275.83
Plot  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1753,3.0,0.0,125.51
Built-up  Area,Ready To Move,KR Puram,4 BHK,GrnSpce,3031,4.0,0.0,147.89
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1168,2.0,2.0,78.63
Built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,2728,4.0,1.0,127.87
Plot  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1779,3.0,3.0,119.68
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1263,3.0,0.0,93.51
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1170,2.0,2.0,68.89
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,723,1.0,1.0,48.85
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1234,2.0,3.0,72.94
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1120,3.0,3.0,47.58
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,939,2.0,3.0,59.9
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,590,1.0,3.0,28.79
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1523,3.0,3.0,69.25
Plot  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1213,2.0,3.0,62.85
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1970,3.0,0.0,122.38
Plot  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,963,2.0,0.0,44.01
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1844,3.0,1.0,166.18
Plot  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1699,4.0,1.0,126.31
Plot  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,614,1.0,3.0,32.27
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1121,2.0,2.0,71.72
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1985,3.0,1.0,306.93
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1603,3.0,3.0,97.97
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,624,1.0,1.0,41.02
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1765,3.0,3.0,249.99
Built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1629,3.0,0.0,113.36
Plot  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,688,2.0,2.0,38.38
Carpet  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,642,1.0,2.0,57.29
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1203,2.0,2.0,122.3
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,723,2.0,0.0,38.7
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2337,4.0,0.0,145.82
